benchmark_name,number_of_resources,number_of_supported_resources,number_of_ignored_resources,number_of_unsupported_resources,number_of_lambdas,number_of_ec2,average_graph_degree,number_of_constraints,number_of_basic_constraints,number_of_incoming_constraints,number_of_intrinsic_constraints,number_of_outgoing_constraints
299503779.yaml,4,0,2,2,0,0,0,0,0,0,0,0
300290690.yaml,1,0,1,0,0,0,0,0,0,0,0,0
300448763.yaml,21,1,13,7,0,0,0.0,2,2,0,0,0
300874070.yaml,17,5,9,3,2,0,0.4,7,6,1,0,0
301242367.yaml,5,0,1,4,0,0,0,0,0,0,0,0
301563264.yaml,12,5,6,1,1,0,1.2,16,11,2,1,2
301746126.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
302432840.yaml,17,6,7,4,1,0,1.3333333333333333,17,10,4,1,2
302593929.yaml,12,3,6,3,1,0,0.0,5,5,0,0,0
302652810.yaml,8,1,4,3,1,0,0.0,1,1,0,0,0
302743588.yaml,42,3,16,23,0,1,0.0,7,6,0,1,0
303162114.yaml,9,2,5,2,2,0,0.0,2,2,0,0,0
303190264.yaml,9,1,3,5,1,0,0.0,1,1,0,0,0
303310511.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
303809578.yaml,42,0,5,37,0,0,0,0,0,0,0,0
304096435.yaml,11,3,6,2,1,0,0.6666666666666666,4,3,1,0,0
304180349.yaml,7,2,4,1,1,0,0.0,3,3,0,0,0
304205835.yaml,159,6,11,142,3,0,0.3333333333333333,12,10,1,1,0
304296576.yaml,38,10,24,4,9,0,0.4,15,15,0,0,0
304815578.yaml,1,0,1,0,0,0,0,0,0,0,0,0
305260425.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
305656505.yaml,32,3,23,6,1,0,0.0,5,5,0,0,0
305899491.yaml,10,2,4,4,1,0,0.0,3,3,0,0,0
305961644.yaml,48,0,3,45,0,0,0,0,0,0,0,0
306188472.yaml,9,0,5,4,0,0,0,0,0,0,0,0
306716577.yaml,14,1,9,4,0,0,0.0,2,2,0,0,0
306814317.yaml,41,1,6,34,0,0,0.0,2,2,0,0,0
307405054.yaml,50,1,6,43,1,1,0.0,1,1,0,0,0
307738803.yaml,34,2,24,8,1,0,0.0,3,3,0,0,0
308935465.yaml,28,10,11,7,3,0,1.2,71,63,2,4,2
309003110.yaml,28,0,3,25,0,1,0,0,0,0,0,0
309261062.yaml,42,0,7,35,0,0,0,0,0,0,0,0
310096411.yaml,30,9,14,7,3,0,0.4444444444444444,18,16,1,0,1
310391906.yaml,46,7,18,21,2,0,0.8571428571428571,22,15,3,3,1
310615680.yaml,17,4,9,4,2,0,0.5,7,6,1,0,0
311269100.yaml,4,0,2,2,0,0,0,0,0,0,0,0
312285276.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
312350384.yaml,38,0,4,34,0,0,0,0,0,0,0,0
312472551.yaml,1,0,1,0,0,0,0,0,0,0,0,0
312577204.yaml,35,1,6,28,0,0,0.0,2,2,0,0,0
312680248.yaml,37,0,5,32,0,0,0,0,0,0,0,0
314182869.yaml,17,10,5,2,5,0,1.0,42,32,6,4,0
315666037.yaml,15,5,8,2,1,0,1.2,17,13,2,1,1
315723702.yaml,38,11,19,8,7,0,0.36363636363636365,21,17,2,1,1
315887892.yaml,21,1,13,7,0,0,0.0,2,2,0,0,0
316313986.yaml,17,5,8,4,2,0,0.8,15,12,1,1,1
316646959.yaml,22,0,1,21,0,0,0,0,0,0,0,0
318073338.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
318381952.yaml,34,8,14,12,5,0,1.25,30,21,5,2,2
318540549.yaml,5,1,3,1,1,0,0.0,1,1,0,0,0
318567630.yaml,34,13,19,2,4,0,1.6923076923076923,68,53,7,3,5
318720013.yaml,5,1,4,0,0,0,0.0,2,2,0,0,0
319058919.yaml,7,3,4,0,3,0,0.0,3,3,0,0,0
319069380.yaml,11,3,6,2,1,0,0.6666666666666666,4,3,1,0,0
319591393.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
319751102.yaml,17,1,11,5,0,0,0.0,2,2,0,0,0
319788553.yaml,1,0,1,0,0,0,0,0,0,0,0,0
319864357.yaml,51,2,10,39,2,1,0.0,2,2,0,0,0
321546230.yaml,69,12,16,41,3,0,1.1666666666666667,39,32,3,2,2
321647027.yaml,26,1,19,6,0,0,0.0,2,2,0,0,0
321833885.yaml,3,0,1,2,0,0,0,0,0,0,0,0
321976587.yaml,1,0,1,0,0,0,0,0,0,0,0,0
322064345.yaml,8,0,3,5,0,0,0,0,0,0,0,0
322260147.yaml,61,5,19,37,5,0,0.0,5,5,0,0,0
322416296.yaml,25,1,17,7,0,0,0.0,2,2,0,0,0
322812114.yaml,19,0,6,13,0,0,0,0,0,0,0,0
322816317.yaml,7,2,4,1,1,0,0.0,3,3,0,0,0
323134581.yaml,23,1,15,7,1,0,0.0,1,1,0,0,0
323244425.yaml,25,8,14,3,3,0,1.0,23,19,2,1,1
323740201.yaml,16,5,8,3,1,0,1.2,17,13,2,1,1
323923418.yaml,1,0,1,0,0,0,0,0,0,0,0,0
324465703.yaml,1,0,1,0,0,0,0,0,0,0,0,0
324567683.yaml,26,6,17,3,5,0,1.3333333333333333,23,20,2,1,0
324902937.yaml,52,4,15,33,2,0,1.0,10,6,2,0,2
325108574.yaml,17,2,5,10,1,0,1.0,10,7,2,1,0
325121838.yaml,36,11,14,11,7,0,1.0909090909090908,29,22,5,1,1
325170705.yaml,33,0,5,28,0,0,0,0,0,0,0,0
325600171.yaml,8,1,4,3,1,0,0.0,1,1,0,0,0
325661077.yaml,8,1,4,3,0,0,0.0,2,2,0,0,0
325857613.yaml,49,0,7,42,0,0,0,0,0,0,0,0
326154356.yaml,20,1,13,6,0,0,0.0,2,2,0,0,0
326223034.yaml,2,1,1,0,0,0,0.0,2,2,0,0,0
326276341.yaml,1,0,1,0,0,0,0,0,0,0,0,0
326331005.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
326663076.yaml,21,3,9,9,3,0,0.0,3,3,0,0,0
326944103.yaml,3,1,2,0,0,0,0.0,2,2,0,0,0
327038379.yaml,11,5,4,2,0,0,1.2,32,28,1,2,1
327307933.yaml,16,5,9,2,1,0,1.2,17,13,2,1,1
327359755.yaml,60,1,19,40,0,0,0.0,2,2,0,0,0
327454387.yaml,14,2,5,7,1,0,1.0,10,7,2,1,0
327860227.yaml,52,23,25,4,8,0,2.347826086956522,119,86,18,6,9
328060766.yaml,29,3,19,7,1,0,0.0,5,5,0,0,0
329111331.yaml,25,8,14,3,3,0,1.0,23,19,2,1,1
329258339.yaml,11,1,5,5,1,0,0.0,1,1,0,0,0
329685257.yaml,92,34,42,16,11,0,3.0,249,211,19,8,11
329715937.yaml,5,3,2,0,2,0,1.3333333333333333,8,7,1,0,0
329841644.yaml,42,3,16,23,0,1,0.0,7,6,0,1,0
330209062.yaml,34,5,14,15,1,0,0.8,15,10,2,1,2
330722181.yaml,40,17,21,2,3,0,1.411764705882353,122,104,5,8,5
331408116.yaml,28,5,12,11,4,0,2.0,24,20,3,1,0
331706114.yaml,30,10,14,6,4,0,0.6,22,18,2,1,1
331867775.yaml,42,3,16,23,0,1,0.0,7,6,0,1,0
332062119.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
332148803.yaml,19,2,8,9,1,0,1.0,10,7,2,1,0
332267290.yaml,42,1,5,36,1,0,0.0,1,1,0,0,0
332582641.yaml,27,5,16,6,2,0,0.4,10,9,1,0,0
332723625.yaml,25,6,10,9,1,0,1.0,22,14,4,2,2
332988254.yaml,48,1,16,31,0,0,0.0,2,2,0,0,0
333210840.yaml,37,1,7,29,1,0,0.0,1,1,0,0,0
333215089.yaml,61,2,17,42,1,0,0.0,3,3,0,0,0
333598287.yaml,1,0,1,0,0,0,0,0,0,0,0,0
334072700.yaml,34,0,3,31,0,1,0,0,0,0,0,0
334286601.yaml,11,4,6,1,2,0,1.0,15,12,2,1,0
334795457.yaml,22,1,14,7,0,0,0.0,2,2,0,0,0
335073232.yaml,10,1,5,4,0,0,0.0,2,2,0,0,0
335104043.yaml,80,24,46,10,15,0,1.4166666666666667,81,70,4,4,3
335121835.yaml,111,30,41,40,14,0,1.6666666666666667,116,78,19,6,13
335135174.yaml,3,1,2,0,1,0,0.0,1,1,0,0,0
335271692.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
335813625.yaml,2,1,1,0,0,0,0.0,4,3,0,1,0
335936490.yaml,5,3,2,0,0,0,0.0,9,7,0,2,0
336190138.yaml,14,5,7,2,1,0,0.8,9,7,2,0,0
336293667.yaml,52,0,10,42,0,6,0,0,0,0,0,0
336951511.yaml,22,1,17,4,0,0,0.0,2,2,0,0,0
336997643.yaml,53,0,3,50,0,1,0,0,0,0,0,0
337096242.yaml,29,0,4,25,0,0,0,0,0,0,0,0
337248977.yaml,4,0,1,3,0,0,0,0,0,0,0,0
33757494.yaml,13,4,7,2,2,0,0.5,8,8,0,0,0
337834811.yaml,6,1,3,2,0,0,0.0,2,2,0,0,0
338128183.yaml,2,1,1,0,1,0,0.0,1,1,0,0,0
338459967.yaml,20,2,6,12,1,0,1.0,10,7,2,1,0
338912056.yaml,7,2,2,3,0,0,0.0,3,3,0,0,0
339482074.yaml,4,2,2,0,1,0,1.0,10,7,2,1,0
339853499.yaml,56,3,26,27,0,0,0.0,6,6,0,0,0
340749419.yaml,5,0,3,2,0,0,0,0,0,0,0,0
340804757.yaml,11,3,4,4,1,0,0.0,7,6,0,1,0
340960184.yaml,1,0,1,0,0,0,0,0,0,0,0,0
341003224.yaml,11,3,5,3,2,0,0.0,4,4,0,0,0
341072243.yaml,25,5,11,9,5,0,0.0,5,5,0,0,0
341140668.yaml,52,23,25,4,8,0,2.347826086956522,119,86,18,6,9
341488964.yaml,22,10,9,3,1,0,1.6,35,25,6,1,3
341601452.yaml,5,3,2,0,0,0,1.3333333333333333,12,7,2,1,2
341663414.yaml,5,0,1,4,0,0,0,0,0,0,0,0
